time="2022-06-05T23:43:00+03:00" level=info msg="create socket" func="main.start()" file="app.go, 43"
time="2022-06-05T23:43:00+03:00" level=info msg="listen unix socket" func="main.start()" file="app.go, 46"
time="2022-06-05T23:43:00+03:00" level=info msg="server is listening unix socket: %sC:\\Users\\alexey\\Desktop\\golang projs\\first-rest\\build\\app.sock" func="main.start()" file="app.go, 50"
time="2022-06-06T15:00:04+03:00" level=info msg="create router" func="main.main()" file="app.go, 18"
time="2022-06-06T15:00:04+03:00" level=info msg="read application configuration" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 24"
time="2022-06-06T15:00:04+03:00" level=info msg="register user handler" func="main.main()" file="app.go, 23"
time="2022-06-06T15:00:04+03:00" level=info msg="start application" func="main.start()" file="app.go, 32"
time="2022-06-06T15:00:04+03:00" level=info msg="listen tcp" func="main.start()" file="app.go, 53"
time="2022-06-06T15:00:04+03:00" level=info msg="server is listening 0.0.0.0:10000" func="main.start()" file="app.go, 55"
time="2022-06-06T15:00:16+03:00" level=info msg="create router" func="main.main()" file="app.go, 18"
time="2022-06-06T15:04:26+03:00" level=info msg="create router" func="main.main()" file="app.go, 18"
time="2022-06-06T15:04:26+03:00" level=info msg="read application configuration" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 24"
time="2022-06-06T15:04:26+03:00" level=info func="first-rest/internal/config.GetConfig.func1()" file="config.go, 28"
time="2022-06-06T15:04:26+03:00" level=fatal msg="field \"BindIp\" is required but the value is not provided" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 29"
time="2022-06-06T15:04:37+03:00" level=info msg="create router" func="main.main()" file="app.go, 18"
time="2022-06-06T15:04:37+03:00" level=info msg="read application configuration" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 24"
time="2022-06-06T15:04:37+03:00" level=info func="first-rest/internal/config.GetConfig.func1()" file="config.go, 28"
time="2022-06-06T15:04:37+03:00" level=fatal msg="field \"BindIp\" is required but the value is not provided" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 29"
time="2022-06-06T15:08:13+03:00" level=info msg="create router" func="main.main()" file="app.go, 18"
time="2022-06-06T15:08:13+03:00" level=info msg="read application configuration" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 24"
time="2022-06-06T15:08:13+03:00" level=info msg="register user handler" func="main.main()" file="app.go, 23"
time="2022-06-06T15:08:13+03:00" level=info msg="start application" func="main.start()" file="app.go, 32"
time="2022-06-06T15:08:13+03:00" level=info msg="detect app path" func="main.start()" file="app.go, 38"
time="2022-06-06T15:08:13+03:00" level=info msg="create socket" func="main.start()" file="app.go, 43"
time="2022-06-06T15:08:13+03:00" level=info msg="listen unix socket" func="main.start()" file="app.go, 46"
time="2022-06-06T15:08:13+03:00" level=info msg="server is listening unix socket: %sC:\\Users\\alexey\\Desktop\\golang projs\\first-rest\\build\\app.sock" func="main.start()" file="app.go, 50"
time="2022-06-06T15:08:31+03:00" level=info msg="create router" func="main.main()" file="app.go, 18"
time="2022-06-06T15:08:31+03:00" level=info msg="read application configuration" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 24"
time="2022-06-06T15:08:31+03:00" level=info msg="register user handler" func="main.main()" file="app.go, 23"
time="2022-06-06T15:08:31+03:00" level=info msg="start application" func="main.start()" file="app.go, 32"
time="2022-06-06T15:08:31+03:00" level=info msg="listen tcp" func="main.start()" file="app.go, 53"
time="2022-06-06T15:08:31+03:00" level=info msg="server is listening 0.0.0.0:10000" func="main.start()" file="app.go, 55"
time="2022-06-06T15:08:42+03:00" level=info msg="create router" func="main.main()" file="app.go, 18"
time="2022-06-06T15:08:42+03:00" level=info msg="read application configuration" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 24"
time="2022-06-06T15:08:42+03:00" level=info msg="register user handler" func="main.main()" file="app.go, 23"
time="2022-06-06T15:08:42+03:00" level=info msg="start application" func="main.start()" file="app.go, 32"
time="2022-06-06T15:08:42+03:00" level=info msg="listen tcp" func="main.start()" file="app.go, 53"
time="2022-06-06T15:08:42+03:00" level=info msg="server is listening 127.0.0.1:8080" func="main.start()" file="app.go, 55"
